type,t,x,y,z,qx,qy,qz,qw
odom,6.927000,-1.978899,-0.407723,0.008718,0.000011,0.000776,0.000182,1.000000
estimator,1716592597.088974,-2.014046,-0.564195,0.008477,0.000009,0.000782,0.000181,1.000000
real,6.927000,-1.999975,-0.500000,0.008718,0.000011,0.000776,0.000182,1.000000
odom,6.961000,-2.013302,-0.431960,0.008716,0.000007,0.000777,0.000183,1.000000
estimator,1716592597.122876,-1.978899,-0.407723,0.008468,0.000009,0.000781,0.000182,1.000000
real,6.961000,-1.999975,-0.500000,0.008716,0.000007,0.000777,0.000183,1.000000
odom,6.995000,-1.993920,-0.594578,0.008717,0.000006,0.000776,0.000183,1.000000
estimator,1716592597.174414,-2.055007,0.081520,0.008544,0.000090,0.000771,0.114346,0.993441
real,6.995000,-1.999975,-0.500000,0.008717,0.000006,0.000776,0.000183,1.000000
odom,7.029000,-2.001188,-0.507825,0.008725,0.000008,0.000779,0.000184,1.000000
estimator,1716592597.191319,-2.003593,-0.512303,0.008450,0.000005,0.000781,0.000071,1.000000
real,7.029000,-1.999975,-0.500000,0.008725,0.000008,0.000779,0.000184,1.000000
odom,7.063000,-1.998648,-0.566512,0.008726,0.000010,0.000779,0.000185,1.000000
estimator,1716592597.225644,-2.001189,-0.507825,0.008441,0.000007,0.000784,0.000184,1.000000
real,7.063000,-1.999975,-0.500000,0.008726,0.000010,0.000779,0.000185,1.000000
odom,7.097000,-1.975600,-0.415088,0.008724,0.000012,0.000777,0.000186,1.000000
estimator,1716592597.259077,-1.998648,-0.566512,0.008443,0.000009,0.000784,0.000185,1.000000
real,7.097000,-1.999975,-0.500000,0.008724,0.000012,0.000777,0.000186,1.000000
odom,7.131000,-2.026506,-0.467140,0.008723,0.000008,0.000778,0.000187,1.000000
estimator,1716592597.293028,-1.975600,-0.415088,0.008440,0.000011,0.000783,0.000186,1.000000
real,7.131000,-1.999974,-0.500000,0.008723,0.000008,0.000778,0.000187,1.000000
odom,7.165000,-2.061440,-0.552104,0.008721,0.000007,0.000776,0.000188,1.000000
estimator,1716592597.327214,-2.026506,-0.467140,0.008440,0.000007,0.000783,0.000187,1.000000
real,7.165000,-1.999974,-0.500000,0.008721,0.000007,0.000776,0.000188,1.000000
odom,7.199000,-2.083357,-0.457848,0.008718,0.000009,0.000776,0.000189,1.000000
estimator,1716592597.367675,-1.167473,-0.957484,0.007043,0.000131,0.000771,0.160459,0.987042
real,7.199000,-1.999974,-0.500000,0.008718,0.000009,0.000776,0.000189,1.000000
odom,7.233000,-2.053187,-0.434849,0.008717,0.000011,0.000776,0.000190,1.000000
estimator,1716592597.395090,-2.072101,-0.506081,0.008456,0.000006,0.000782,0.000296,1.000000
real,7.233000,-1.999974,-0.500000,0.008717,0.000011,0.000776,0.000190,1.000000
odom,7.267000,-1.951793,-0.532127,0.008722,0.000010,0.000778,0.000191,1.000000
estimator,1716592597.428927,-2.053187,-0.434849,0.008472,0.000007,0.000781,0.000190,1.000000
real,7.267000,-1.999974,-0.500000,0.008722,0.000010,0.000778,0.000191,1.000000
odom,7.301000,-2.010717,-0.521559,0.008724,0.000010,0.000779,0.000192,1.000000
estimator,1716592597.462995,-1.951794,-0.532127,0.008478,0.000007,0.000784,0.000191,1.000000
real,7.301000,-1.999974,-0.500000,0.008724,0.000010,0.000779,0.000192,1.000000
odom,7.335000,-2.066088,-0.447939,0.008726,0.000010,0.000778,0.000193,1.000000
estimator,1716592597.496690,-2.010717,-0.521559,0.008480,0.000006,0.000785,0.000192,1.000000
real,7.335000,-1.999974,-0.500000,0.008726,0.000010,0.000778,0.000193,1.000000
odom,7.369000,-1.927674,-0.497026,0.008724,0.000011,0.000777,0.000194,1.000000
estimator,1716592597.550552,-2.976938,-1.514844,0.009996,-0.000252,0.000748,-0.318215,0.948018
real,7.369000,-1.999974,-0.500000,0.008724,0.000011,0.000777,0.000194,1.000000
odom,7.403000,-1.902425,-0.586902,0.008719,0.000010,0.000776,0.000195,1.000000
estimator,1716592597.566056,-1.997081,-0.471200,0.008374,0.000007,0.000784,0.000034,1.000000
real,7.403000,-1.999974,-0.500000,0.008719,0.000010,0.000776,0.000195,1.000000
odom,7.437000,-1.953884,-0.507708,0.008716,0.000008,0.000778,0.000196,1.000000
estimator,1716592597.600035,-1.902425,-0.586902,0.008261,0.000006,0.000783,0.000195,1.000000
real,7.437000,-1.999974,-0.500000,0.008716,0.000008,0.000778,0.000196,1.000000
odom,7.471000,-1.910018,-0.545223,0.008717,0.000008,0.000778,0.000197,1.000000
estimator,1716592597.633749,-1.953885,-0.507708,0.008258,0.000004,0.000785,0.000196,1.000000
real,7.471000,-1.999974,-0.500000,0.008717,0.000008,0.000778,0.000197,1.000000
odom,7.505000,-1.924338,-0.556923,0.008719,0.000010,0.000777,0.000198,1.000000
estimator,1716592597.667739,-1.910019,-0.545223,0.008258,0.000004,0.000785,0.000197,1.000000
real,7.505000,-1.999974,-0.500000,0.008719,0.000010,0.000777,0.000198,1.000000
odom,7.539000,-2.083945,-0.451160,0.008725,0.000008,0.000778,0.000198,1.000000
estimator,1716592597.702253,-1.924339,-0.556923,0.008260,0.000006,0.000783,0.000198,1.000000
real,7.539000,-1.999974,-0.500000,0.008725,0.000008,0.000778,0.000198,1.000000
odom,7.573000,-1.947226,-0.455111,0.008726,0.000007,0.000778,0.000199,1.000000
estimator,1716592597.745470,-1.803948,-1.873745,0.007905,0.000123,0.000786,0.175380,0.984500
real,7.573000,-1.999974,-0.500000,0.008726,0.000007,0.000778,0.000199,1.000000
odom,7.607000,-1.956943,-0.578567,0.008726,0.000009,0.000778,0.000200,1.000000
estimator,1716592597.770998,-2.015451,-0.454549,0.008160,0.000004,0.000785,0.000383,1.000000
