type,t,x,y,z,qx,qy,qz,qw
odom,512.831000,-1.795620,-0.468212,0.008724,-0.000002,0.000777,0.014512,0.999894
estimator,1716796016.133693,-2.003346,-0.478375,0.008045,0.000004,0.000783,0.014553,0.999894
real,512.831000,-1.999212,-0.499990,0.008724,-0.000002,0.000777,0.014512,0.999894
odom,512.865000,-2.015541,-0.447193,0.008718,-0.000000,0.000777,0.014513,0.999894
estimator,1716796016.166118,-1.795621,-0.468212,0.007949,0.000005,0.000783,0.014512,0.999894
real,512.865000,-1.999212,-0.499990,0.008718,-0.000000,0.000777,0.014513,0.999894
odom,512.899000,-1.919214,-0.450936,0.008716,-0.000003,0.000778,0.014514,0.999894
estimator,1716796016.200074,-2.015542,-0.447193,0.007946,0.000007,0.000783,0.014513,0.999894
real,512.899000,-1.999212,-0.499990,0.008716,-0.000003,0.000778,0.014514,0.999894
odom,512.933000,-2.095238,-0.426827,0.008718,-0.000004,0.000778,0.014515,0.999894
estimator,1716796016.232431,-1.919215,-0.450936,0.007943,0.000004,0.000785,0.014514,0.999894
real,512.933000,-1.999212,-0.499990,0.008718,-0.000004,0.000778,0.014515,0.999894
odom,512.967000,-1.770598,-0.471292,0.008719,-0.000002,0.000777,0.014516,0.999894
estimator,1716796016.272714,-1.933301,-0.448500,0.007694,0.000003,0.000785,0.014474,0.999895
real,512.967000,-1.999212,-0.499990,0.008719,-0.000002,0.000777,0.014516,0.999894
odom,513.001000,-2.043465,-0.450830,0.008725,-0.000001,0.000779,0.014517,0.999894
estimator,1716796016.307402,-1.932534,-0.449668,0.007693,0.000003,0.000785,0.014643,0.999892
real,513.001000,-1.999212,-0.499990,0.008725,-0.000001,0.000779,0.014517,0.999894
odom,513.035000,-1.863867,-0.442145,0.008726,-0.000001,0.000779,0.014518,0.999894
estimator,1716796016.338667,-2.043467,-0.450830,0.007448,0.000004,0.000787,0.014517,0.999894
real,513.035000,-1.999212,-0.499990,0.008726,-0.000001,0.000779,0.014518,0.999894
odom,513.069000,-1.812730,-0.456023,0.008738,-0.000003,0.000731,0.014519,0.999894
estimator,1716796016.372030,-1.863869,-0.442145,0.007447,0.000004,0.000787,0.014518,0.999894
real,513.069000,-1.998057,-0.499956,0.008738,-0.000003,0.000731,0.014519,0.999894
odom,513.103000,-2.131092,-0.442595,0.008733,-0.000010,0.000724,0.014520,0.999894
estimator,1716796016.405141,-1.812731,-0.456023,0.007458,0.000002,0.000739,0.014519,0.999894
real,513.103000,-1.995746,-0.499889,0.008733,-0.000010,0.000724,0.014520,0.999894
odom,513.137000,-2.087908,-0.479524,0.008739,-0.000001,0.000744,0.014520,0.999894
estimator,1716796016.438445,-2.131094,-0.442596,0.007458,-0.000005,0.000732,0.014520,0.999894
real,513.137000,-1.992279,-0.499789,0.008739,-0.000001,0.000744,0.014520,0.999894
