type,t,x,y,z,qx,qy,qz,qw
real,12.780000,-1.971084,-0.499296,0.008716,-0.000025,0.000787,0.043682,0.999045
odom,12.814000,-1.968666,-0.450733,0.008717,-0.000027,0.000784,0.059910,0.998203
estimator,1716641584.266805,-2.015024,-0.465460,0.009394,0.000000,0.000777,0.039727,0.999210
real,12.814000,-1.966520,-0.498824,0.008717,-0.000027,0.000784,0.059910,0.998203
odom,12.848000,-2.100736,-0.412440,0.008735,-0.000049,0.000727,0.075666,0.997133
estimator,1716641584.299231,-1.968665,-0.450733,0.009383,0.000001,0.000773,0.059910,0.998203
real,12.848000,-1.960780,-0.498043,0.008735,-0.000049,0.000727,0.075666,0.997133
odom,12.882000,-2.059053,-0.460052,0.008742,-0.000059,0.000720,0.091400,0.995814
estimator,1716641584.333291,-2.100735,-0.412440,0.009402,-0.000021,0.000716,0.075666,0.997133
real,12.882000,-1.953928,-0.496889,0.008742,-0.000059,0.000720,0.091400,0.995814
odom,12.916000,-1.833474,-0.448704,0.008731,-0.000065,0.000745,0.107317,0.994225
estimator,1716641584.366101,-2.059052,-0.460052,0.009407,-0.000031,0.000709,0.091400,0.995814
real,12.916000,-1.946043,-0.495302,0.008731,-0.000065,0.000745,0.107317,0.994225
odom,12.950000,-1.852584,-0.444137,0.008714,-0.000089,0.000783,0.124135,0.992265
estimator,1716641584.399686,-1.833473,-0.448704,0.009400,-0.000037,0.000733,0.107317,0.994225
real,12.950000,-1.937954,-0.493396,0.008714,-0.000089,0.000783,0.124135,0.992265
odom,12.984000,-1.986159,-0.490573,0.008708,-0.000093,0.000806,0.140926,0.990020
estimator,1716641584.437829,-1.922139,-0.471585,0.009497,-0.000056,0.000771,0.130449,0.991455
real,12.984000,-1.930384,-0.491338,0.008708,-0.000093,0.000806,0.140926,0.990020
odom,13.018000,-2.130187,-0.483929,0.008733,-0.000107,0.000737,0.157675,0.987491
estimator,1716641584.470289,-1.916285,-0.463997,0.009486,-0.000053,0.000771,0.134803,0.990872
real,13.018000,-1.921999,-0.488751,0.008733,-0.000107,0.000737,0.157675,0.987491
odom,13.052000,-1.848751,-0.404953,0.008730,-0.000124,0.000743,0.174368,0.984680
estimator,1716641584.502810,-2.130186,-0.483929,0.009609,-0.000064,0.000702,0.157675,0.987491
real,13.052000,-1.913707,-0.485882,0.008730,-0.000124,0.000743,0.174368,0.984680
odom,13.086000,-1.792858,-0.417335,0.008720,-0.000127,0.000777,0.191012,0.981587
estimator,1716641584.536309,-1.848749,-0.404952,0.009628,-0.000080,0.000707,0.174368,0.984680
real,13.086000,-1.905516,-0.482734,0.008720,-0.000127,0.000777,0.191012,0.981587
odom,13.120000,-1.999058,-0.441835,0.008714,-0.000161,0.000773,0.207600,0.978214
estimator,1716641584.570413,-1.792856,-0.417335,0.009620,-0.000084,0.000741,0.191012,0.981588
real,13.120000,-1.897437,-0.479310,0.008714,-0.000161,0.000773,0.207600,0.978214
odom,13.154000,-2.099135,-0.462144,0.008720,-0.000167,0.000754,0.224128,0.974559
estimator,1716641584.603842,-1.999057,-0.441835,0.009600,-0.000119,0.000736,0.207600,0.978214
real,13.154000,-1.889478,-0.475615,0.008720,-0.000167,0.000754,0.224128,0.974559
odom,13.188000,-1.952990,-0.456742,0.008721,-0.000161,0.000770,0.240613,0.970621
