type,t,x,y,z,qx,qy,qz,qw
odom,4.862000,-1.919434,-0.521558,0.008720,0.000011,0.000778,0.000130,1.000000
estimator,1716590960.100494,-1.964863,-0.409882,0.009053,0.000014,0.000778,0.000129,1.000000
real,4.862000,-1.999978,-0.500000,0.008720,0.000011,0.000778,0.000130,1.000000
odom,4.896000,-2.037857,-0.401419,0.008727,0.000011,0.000779,0.000131,1.000000
estimator,1716590960.134824,-1.919434,-0.521558,0.009055,0.000015,0.000780,0.000130,1.000000
real,4.896000,-1.999978,-0.500000,0.008727,0.000011,0.000779,0.000131,1.000000
odom,4.930000,-2.041037,-0.533575,0.008725,0.000010,0.000777,0.000132,1.000000
estimator,1716590960.169148,-2.037857,-0.401419,0.009064,0.000014,0.000781,0.000131,1.000000
real,4.930000,-1.999977,-0.500000,0.008725,0.000010,0.000777,0.000132,1.000000
odom,4.964000,-1.954969,-0.472782,0.008721,0.000010,0.000776,0.000133,1.000000
estimator,1716590960.202985,-2.041037,-0.533575,0.009060,0.000014,0.000779,0.000132,1.000000
real,4.964000,-1.999977,-0.500000,0.008721,0.000010,0.000776,0.000133,1.000000
odom,4.998000,-2.055908,-0.440818,0.008718,0.000010,0.000777,0.000134,1.000000
estimator,1716590960.246640,-1.998111,-3.212672,0.009034,0.000014,0.000779,0.000307,1.000000
real,4.998000,-1.999977,-0.500000,0.008718,0.000010,0.000777,0.000134,1.000000
odom,5.032000,-1.904457,-0.444600,0.008722,0.000009,0.000778,0.000135,1.000000
estimator,1716590960.271232,-2.005463,-0.456718,0.009136,0.000014,0.000779,0.000121,1.000000
real,5.032000,-1.999977,-0.500000,0.008722,0.000009,0.000778,0.000135,1.000000
odom,5.066000,-2.086259,-0.556191,0.008726,0.000008,0.000777,0.000136,1.000000
estimator,1716590960.305588,-1.904456,-0.444600,0.009218,0.000013,0.000780,0.000135,1.000000
real,5.066000,-1.999977,-0.500000,0.008726,0.000008,0.000777,0.000136,1.000000
odom,5.100000,-1.998533,-0.438994,0.008728,0.000009,0.000778,0.000137,1.000000
estimator,1716590960.338659,-2.086258,-0.556191,0.009223,0.000013,0.000779,0.000136,1.000000
real,5.100000,-1.999977,-0.500000,0.008728,0.000009,0.000778,0.000137,1.000000
odom,5.134000,-1.976795,-0.530492,0.008720,0.000010,0.000777,0.000138,1.000000
estimator,1716590960.374465,-1.998532,-0.438994,0.009225,0.000014,0.000780,0.000137,1.000000
real,5.134000,-1.999977,-0.500000,0.008720,0.000010,0.000777,0.000138,1.000000
odom,5.168000,-1.949308,-0.477501,0.008719,0.000008,0.000777,0.000139,1.000000
estimator,1716590960.407124,-1.976794,-0.530492,0.009216,0.000014,0.000779,0.000138,1.000000
real,5.168000,-1.999977,-0.500000,0.008719,0.000008,0.000777,0.000139,1.000000
odom,5.202000,-1.992830,-0.449551,0.008717,0.000008,0.000776,0.000139,1.000000
estimator,1716590960.477776,-1.898435,-1.651398,0.009253,0.000755,-0.000190,0.981704,-0.190412
odom,5.236000,-2.039797,-0.544313,0.008719,0.000009,0.000776,0.000140,1.000000
estimator,1716590960.482072,-1.970458,-0.464312,0.009249,0.000012,0.000779,0.000231,1.000000
real,5.202000,-1.999977,-0.500000,0.008717,0.000008,0.000776,0.000139,1.000000
real,5.236000,-1.999977,-0.500000,0.008719,0.000009,0.000776,0.000140,1.000000
odom,5.270000,-1.923320,-0.535811,0.008718,0.000009,0.000778,0.000141,1.000000
estimator,1716590960.514988,-2.039796,-0.544313,0.009285,0.000013,0.000779,0.000140,1.000000
real,5.270000,-1.999977,-0.500000,0.008718,0.000009,0.000778,0.000141,1.000000
odom,5.304000,-1.967452,-0.418062,0.008723,0.000007,0.000779,0.000142,1.000000
estimator,1716590960.549133,-1.923319,-0.535811,0.009284,0.000013,0.000781,0.000141,1.000000
real,5.304000,-1.999977,-0.500000,0.008723,0.000007,0.000779,0.000142,1.000000
odom,5.338000,-2.071721,-0.509621,0.008727,0.000007,0.000778,0.000143,1.000000
estimator,1716590960.583032,-1.967451,-0.418062,0.009291,0.000012,0.000782,0.000142,1.000000
real,5.338000,-1.999977,-0.500000,0.008727,0.000007,0.000778,0.000143,1.000000
odom,5.372000,-1.939754,-0.567217,0.008726,0.000008,0.000777,0.000144,1.000000
estimator,1716590960.659994,0.423679,-0.630434,0.005378,0.000016,0.000781,0.005230,0.999986
real,5.372000,-1.999977,-0.500000,0.008726,0.000008,0.000777,0.000144,1.000000
odom,5.406000,-2.010758,-0.503042,0.008717,0.000011,0.000776,0.000145,1.000000
estimator,1716590960.664403,-2.006347,-0.538100,0.009191,0.000011,0.000781,0.000094,1.000000
real,5.406000,-1.999977,-0.500000,0.008717,0.000011,0.000776,0.000145,1.000000
odom,5.440000,-1.925593,-0.571051,0.008717,0.000008,0.000777,0.000146,1.000000
estimator,1716590960.689920,-2.010757,-0.503042,0.009079,0.000014,0.000780,0.000145,1.000000
real,5.440000,-1.999977,-0.500000,0.008717,0.000008,0.000777,0.000146,1.000000
odom,5.474000,-2.002880,-0.514454,0.008719,0.000008,0.000777,0.000147,1.000000
estimator,1716590960.721520,-1.925593,-0.571051,0.009078,0.000011,0.000781,0.000146,1.000000
real,5.474000,-1.999977,-0.500000,0.008719,0.000008,0.000777,0.000147,1.000000
odom,5.508000,-2.046595,-0.480753,0.008725,0.000008,0.000779,0.000148,1.000000
estimator,1716590960.754427,-2.002879,-0.514454,0.009080,0.000011,0.000781,0.000147,1.000000
real,5.508000,-1.999977,-0.500000,0.008725,0.000008,0.000779,0.000148,1.000000
odom,5.542000,-2.027251,-0.457275,0.008726,0.000008,0.000778,0.000149,1.000000
estimator,1716590960.787313,-2.046595,-0.480753,0.009087,0.000011,0.000783,0.000148,1.000000
real,5.542000,-1.999977,-0.500000,0.008726,0.000008,0.000778,0.000149,1.000000
odom,5.576000,-1.903045,-0.467016,0.008724,0.000010,0.000776,0.000150,1.000000
estimator,1716590960.873626,-1.815765,-0.648522,0.008751,0.000013,0.000782,0.001410,0.999999
real,5.576000,-1.999977,-0.500000,0.008724,0.000010,0.000776,0.000150,1.000000
odom,5.610000,-2.004049,-0.567448,0.008717,0.000009,0.000776,0.000151,1.000000
estimator,1716590960.877742,-1.965632,-0.460898,0.008991,0.000012,0.000782,-0.000014,1.000000
real,5.610000,-1.999976,-0.500000,0.008717,0.000009,0.000776,0.000151,1.000000
odom,5.644000,-2.014458,-0.537556,0.008716,0.000010,0.000777,0.000152,1.000000
estimator,1716590960.897683,-2.004049,-0.567448,0.008887,0.000012,0.000782,0.000151,1.000000
real,5.644000,-1.999976,-0.500000,0.008716,0.000010,0.000777,0.000152,1.000000
odom,5.678000,-2.016114,-0.550486,0.008721,0.000009,0.000778,0.000153,1.000000
estimator,1716590960.927946,-2.014458,-0.537556,0.008887,0.000012,0.000784,0.000152,1.000000
real,5.678000,-1.999976,-0.500000,0.008721,0.000009,0.000778,0.000153,1.000000
odom,5.712000,-2.016307,-0.441656,0.008728,0.000009,0.000777,0.000153,1.000000
estimator,1716590960.959978,-2.016114,-0.550486,0.008891,0.000011,0.000784,0.000153,1.000000
real,5.712000,-1.999976,-0.500000,0.008728,0.000009,0.000777,0.000153,1.000000
odom,5.746000,-1.967639,-0.516218,0.008720,0.000008,0.000776,0.000154,1.000000
estimator,1716590960.993047,-2.016307,-0.441656,0.008899,0.000011,0.000784,0.000153,1.000000
real,5.746000,-1.999976,-0.500000,0.008720,0.000008,0.000776,0.000154,1.000000
odom,5.780000,-2.001376,-0.482983,0.008719,0.000009,0.000776,0.000155,1.000000
estimator,1716590961.036266,-8.447512,2.069283,0.019079,0.000009,0.000783,-0.001823,0.999998
real,5.780000,-1.999976,-0.500000,0.008719,0.000009,0.000776,0.000155,1.000000
odom,5.814000,-1.925371,-0.581100,0.008718,0.000011,0.000778,0.000156,1.000000
estimator,1716590961.061121,-1.983986,-0.499238,0.008916,0.000011,0.000782,0.000152,1.000000
real,5.814000,-1.999976,-0.500000,0.008718,0.000011,0.000778,0.000156,1.000000
odom,5.848000,-1.991730,-0.543040,0.008727,0.000009,0.000778,0.000157,1.000000
estimator,1716590961.094597,-1.925371,-0.581100,0.008941,0.000013,0.000783,0.000156,1.000000
real,5.848000,-1.999976,-0.500000,0.008727,0.000009,0.000778,0.000157,1.000000
odom,5.882000,-1.991572,-0.533663,0.008727,0.000008,0.000777,0.000158,1.000000
estimator,1716590961.127661,-1.991730,-0.543040,0.008951,0.000011,0.000784,0.000157,1.000000
real,5.882000,-1.999976,-0.500000,0.008727,0.000008,0.000777,0.000158,1.000000
odom,5.916000,-1.924685,-0.512246,0.008726,0.000006,0.000778,0.000159,1.000000
estimator,1716590961.161955,-1.991572,-0.533663,0.008951,0.000010,0.000783,0.000158,1.000000
real,5.916000,-1.999976,-0.500000,0.008726,0.000006,0.000778,0.000159,1.000000
odom,5.950000,-1.918229,-0.407613,0.008726,0.000007,0.000778,0.000160,1.000000
estimator,1716590961.196655,-1.924684,-0.512246,0.008950,0.000008,0.000783,0.000159,1.000000
real,5.950000,-1.999976,-0.500000,0.008726,0.000007,0.000778,0.000160,1.000000
odom,5.984000,-2.016466,-0.582777,0.008718,0.000009,0.000776,0.000161,1.000000
estimator,1716590961.240825,-6.520463,-5.841150,0.015740,-0.000070,0.000726,-0.073698,0.997280
real,5.984000,-1.999976,-0.500000,0.008718,0.000009,0.000776,0.000161,1.000000
odom,6.018000,-2.068693,-0.463042,0.008716,0.000010,0.000776,0.000162,1.000000
estimator,1716590961.264338,-1.967850,-0.494077,0.009026,0.000009,0.000783,0.000072,1.000000
real,6.018000,-1.999976,-0.500000,0.008716,0.000010,0.000776,0.000162,1.000000
odom,6.052000,-2.001643,-0.417553,0.008725,0.000010,0.000778,0.000163,1.000000
estimator,1716590961.298961,-2.068693,-0.463042,0.009099,0.000010,0.000783,0.000162,1.000000
real,6.052000,-1.999976,-0.500000,0.008725,0.000010,0.000778,0.000163,1.000000
odom,6.086000,-2.025495,-0.517295,0.008726,0.000011,0.000779,0.000164,1.000000
estimator,1716590961.332051,-2.001643,-0.417553,0.009107,0.000011,0.000786,0.000163,1.000000
real,6.086000,-1.999976,-0.500000,0.008726,0.000011,0.000779,0.000164,1.000000
odom,6.120000,-2.070390,-0.534914,0.008725,0.000010,0.000777,0.000165,1.000000
estimator,1716590961.366143,-2.025494,-0.517295,0.009108,0.000012,0.000786,0.000164,1.000000
real,6.120000,-1.999976,-0.500000,0.008725,0.000010,0.000777,0.000165,1.000000
odom,6.154000,-2.081465,-0.407657,0.008721,0.000006,0.000777,0.000166,1.000000
estimator,1716590961.399793,-2.070389,-0.534914,0.009107,0.000011,0.000785,0.000165,1.000000
real,6.154000,-1.999976,-0.500000,0.008721,0.000006,0.000777,0.000166,1.000000
odom,6.188000,-1.913887,-0.554898,0.008721,0.000006,0.000776,0.000167,1.000000
estimator,1716590961.445047,-1.971488,0.452367,0.009088,0.000017,0.000828,0.034859,0.999392
real,6.188000,-1.999976,-0.500000,0.008721,0.000006,0.000776,0.000167,1.000000
odom,6.222000,-1.987604,-0.435950,0.008718,0.000010,0.000776,0.000168,1.000000
estimator,1716590961.467623,-1.997911,-0.481239,0.008972,0.000007,0.000784,0.000153,1.000000
real,6.222000,-1.999976,-0.500000,0.008718,0.000010,0.000776,0.000168,1.000000
odom,6.256000,-1.933249,-0.404599,0.008716,0.000011,0.000777,0.000169,1.000000
estimator,1716590961.500552,-1.987604,-0.435950,0.008838,0.000011,0.000784,0.000168,1.000000
